Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|     MLN/USDT |        28 |          -0.02 |          -0.63 |            -0.627 |          -0.06 |         1:58:00 |    21     1     6  75.0 |
|    COMP/USDT |        13 |          -0.05 |          -0.71 |            -0.712 |          -0.07 |         6:12:00 |     9     2     2  69.2 |
|     RVN/USDT |        36 |          -0.03 |          -1.07 |            -1.072 |          -0.11 |         3:02:00 |    21     9     6  58.3 |
|     STX/USDT |        30 |          -0.04 |          -1.10 |            -1.090 |          -0.11 |         2:06:00 |    21     3     6  70.0 |
|     JOE/USDT |        55 |          -0.02 |          -1.32 |            -1.319 |          -0.13 |         3:31:00 |    35    10    10  63.6 |
|     BAT/USDT |         4 |          -0.35 |          -1.40 |            -1.391 |          -0.14 |         3:56:00 |     3     0     1  75.0 |
|     SUN/USDT |        25 |          -0.07 |          -1.72 |            -1.719 |          -0.17 |         5:00:00 |    16     4     5  64.0 |
|     XEC/USDT |        20 |          -0.09 |          -1.85 |            -1.851 |          -0.18 |         2:13:00 |    14     2     4  70.0 |
|     ZRX/USDT |        15 |          -0.14 |          -2.03 |            -1.953 |          -0.19 |         3:04:00 |     7     6     2  46.7 |
|     COS/USDT |        33 |          -0.06 |          -1.97 |            -1.974 |          -0.20 |         2:41:00 |    23     4     6  69.7 |
|     FIL/USDT |        22 |          -0.10 |          -2.30 |            -2.297 |          -0.23 |         2:38:00 |    17     1     4  77.3 |
|   AUDIO/USDT |        21 |          -0.11 |          -2.32 |            -2.325 |          -0.23 |         3:21:00 |     9     9     3  42.9 |
